Order Date,Product ID,Category,Warehouse,Supplier,Stock Quantity,Units Sold,Demand Forecast,Lead Time,Shipping Time,Inventory Cost,Revenue,Customer Demand,Unit Cost,Unit Price
2024-12-04,PROD-0155,Automotive,Warehouse-North,Supplier-B,200.0,,213.0,13.0,3.0,11950.99,141350.4,186.0,412.16,883.44
2024-03-25,PROD-0010,Apparel,Warehouse-South,Supplier-F,,108.0,82.0,1.0,6.0,15104.03,61225.2,113.0,406.22,566.9
2023-03-04,PROD-0217,Furniture,Warehouse-East,Supplier-E,794.0,460.0,462.0,2.0,9.0,12916.67,123197.2,445.0,210.34,267.82
2024-04-20,PROD-0209,Pharmaceuticals,Warehouse-Central,Supplier-C,862.0,644.0,616.0,5.0,5.0,54989.08,463151.92,624.0,472.66,719.18
2023-02-20,PROD-0173,Grocery,Warehouse-Central,Supplier-F,unknown,445.0,479.0,17.0,8.0,20575.13,186486.15,450.0,310.97,419.07
2023-09-07,PROD-0162,Electronics,Warehouse-East,Supplier-D,890.0,305.0,286.0,1.0,6.0,25354.13,,,484.15,1079.35
2024-09-15,PROD-0047,Cosmetics,Warehouse-Central,Supplier-B,852.0,577.0,621.0,19.0,7.0,3178.34,69263.08,586.0,72.5,120.04
2023-12-01,PROD-0091,Cosmetics,Warehouse-East,Supplier-A,446.0,307.0,314.0,1.0,8.0,16217.19,263095.93,291.0,455.68,856.99
2023-05-18,PROD-0184,Grocery,Warehouse-North,Supplier-C,329.0,68.0,71.0,6.0,5.0,4128.78,23508.96,70.0,176.97,345.72
2023-07-02,PROD-0080,Furniture,Warehouse-East,Supplier-A,373.0,7.0,0.0,8.0,4.0,9175.37,2238.88,18.0,176.11,319.84
2023-03-02,PROD-0122,Automotive,Warehouse-East,Supplier-E,402.0,276.0,250.0,18.0,6.0,1220.28,24285.24,,48.91,87.99
2024-06-29,PROD-0177,Grocery,Warehouse-South,Supplier-D,812.0,72.0,67.0,15.0,9.0,28377.53,34922.88,99.0,345.45,485.04
2024-07-26,PROD-0081,Toys,Warehouse-South,Supplier-C,803.0,256.0,233.0,17.0,3.0,5487.6,41474.56,249.0,96.34,162.01
2024-04-18,PROD-0028,Apparel,Warehouse-South,Supplier-C,364.0,153.0,136.0,19.0,7.0,16890.83,114831.09,150.0,345.15,750.53
2024-05-20,PROD-0038,Electronics,Warehouse-East,Supplier-F,882.0,14.0,47.0,5.0,7.0,10317.94,3742.48,37.0,164.43,267.32
2024-06-20,PROD-0145,Cosmetics,Warehouse-Central,Supplier-F,211.0,24.0,61.0,10.0,3.0,6741.67,15338.88,37.0,326.17,639.12
2024-09-14,PROD-0008,Automotive,Warehouse-North,Supplier-C,747.0,594.0,605.0,9.0,5.0,15812.89,213097.5,629.0,184.73,358.75
2023-11-11,PROD-0109,Pharmaceuticals,Warehouse-Central,Supplier-A,376.0,288.0,310.0,6.0,6.0,3148.68,52657.92,329.0,126.75,182.84
2023-12-16,PROD-0095,Pharmaceuticals,Warehouse-North,Supplier-B,758.0,242.0,242.0,8.0,5.0,22791.73,204158.46,225.0,491.28,843.63
2024-10-07,PROD-0118,Pharmaceuticals,Warehouse-North,Supplier-F,605.0,434.0,465.0,2.0,8.0,19511.53,153353.9,439.0,240.93,353.35
2023-04-28,PROD-0068,Electronics,Warehouse-East,Supplier-D,723.0,224.0,213.0,17.0,1.0,17519.35,134597.12,214.0,307.26,600.88
2024-05-25,PROD-0100,Automotive,Warehouse-Central,Supplier-E,258.0,160.0,135.0,18.0,8.0,1039.84,28467.2,152.0,71.54,177.92
2023-06-17,PROD-0130,Furniture,Warehouse-West,Supplier-A,320.0,100.0,142.0,17.0,9.0,9322.16,52034.0,128.0,299.84,520.34
2024-08-03,PROD-0062,Toys,Warehouse-West,Supplier-D,235.0,177.0,224.0,11.0,9.0,2200.08,45315.54,220.0,106.48,256.02
2024-07-25,PROD-0064,Electronics,Warehouse-Central,Supplier-F,839.0,228.0,211.0,3.0,5.0,6003.95,44884.08,269.0,97.27,196.86
2023-05-12,PROD-0089,Furniture,Warehouse-Central,Supplier-D,,24.0,11.0,8.0,8.0,799.53,9614.4,41.0,222.37,400.6
2023-01-23,PROD-0063,Automotive,Warehouse-North,Supplier-C,664.0,144.0,179.0,14.0,5.0,33868.43,88328.16,129.0,453.7,613.39
2024-08-01,PROD-0135,Toys,Warehouse-East,Supplier-F,967.0,553.0,586.0,15.0,1.0,36266.44,331086.63,570.0,269.06,598.71
2024-03-16,PROD-0097,Apparel,Warehouse-Central,Supplier-F,996.0,410.0,434.0,1.0,4.0,36100.21,275421.6,427.0,287.1,671.76
2023-06-08,PROD-0047,Cosmetics,Warehouse-West,Supplier-B,876.0,215.0,236.0,15.0,8.0,5060.13,36425.3,196.0,79.21,169.42
2024-02-15,PROD-0095,Pharmaceuticals,Warehouse-East,Supplier-B,754.0,291.0,286.0,11.0,5.0,45575.6,198342.69,276.0,414.27,681.59
2024-12-12,PROD-0023,Apparel,Warehouse-South,Supplier-B,301.0,106.0,87.0,13.0,8.0,8544.68,33126.06,145.0,255.41,312.51
2024-11-13,PROD-0204,Electronics,Warehouse-West,Supplier-B,355.0,132.0,138.0,8.0,1.0,11403.85,,140.0,290.26,508.35
2024-04-06,PROD-0040,Grocery,Warehouse-North,Supplier-A,725.0,406.0,376.0,14.0,5.0,47807.03,272352.92,442.0,492.5,670.82
2023-01-01,PROD-0063,Automotive,Warehouse-East,Supplier-C,935.0,660.0,676.0,9.0,5.0,20820.93,136045.8,680.0,170.92,206.13
2024-07-28,PROD-0244,Electronics,Warehouse-North,Supplier-B,601.0,74.0,81.0,2.0,7.0,13144.83,23383.26,96.0,176.74,315.99
2023-06-28,PROD-0182,Toys,Warehouse-North,Supplier-F,966.0,179.0,218.0,1.0,1.0,29396.22,104106.4,207.0,391.35,581.6
2023-03-25,PROD-0105,Apparel,Warehouse-North,Supplier-C,147.0,117.0,172.0,8.0,1.0,1825.2,30787.38,147.0,153.3,263.14
2024-12-23,PROD-0062,Toys,Warehouse-Central,Supplier-D,304.0,172.0,171.0,16.0,8.0,7140.06,108277.44,217.0,295.79,629.52
2024-05-16,PROD-0220,Toys,Warehouse-North,Supplier-A,113.0,37.0,57.0,4.0,1.0,1108.86,13748.46,26.0,170.51,371.58
2024-04-02,PROD-0211,Toys,Warehouse-South,Supplier-E,379.0,86.0,110.0,18.0,7.0,6615.76,42395.42,124.0,331.17,492.97
2023-11-24,PROD-0054,Furniture,Warehouse-North,Supplier-E,238.0,66.0,86.0,1.0,8.0,959.02,7654.02,91.0,54.22,115.97
2024-05-05,PROD-0144,Cosmetics,Warehouse-West,Supplier-F,499.0,164.0,187.0,14.0,7.0,11485.92,96481.2,166.0,448.69,588.3
2023-03-26,PROD-0147,Grocery,Warehouse-Central,Supplier-F,914.0,547.0,545.0,18.0,2.0,46853.58,408012.77,528.0,455.76,745.91
2024-12-07,PROD-0215,Grocery,Warehouse-West,Supplier-B,531.0,260.0,266.0,6.0,9.0,9318.07,139724.0,263.0,220.88,537.4
2024-08-15,PROD-0202,Cosmetics,Warehouse-East,Supplier-C,726.0,127.0,177.0,18.0,3.0,23318.19,69267.07,131.0,258.67,545.41
2023-12-25,PROD-0201,Toys,Warehouse-East,Supplier-B,493.0,3.0,0.0,13.0,2.0,3572.57,1001.7,24.0,139.79,333.9
2023-12-22,PROD-0041,Grocery,Warehouse-South,Supplier-A,16.0,4.0,0.0,6.0,7.0,59.15,356.44,14.0,57.76,89.11
2024-10-07,PROD-0219,Cosmetics,Warehouse-South,Supplier-B,267.0,52.0,92.0,10.0,1.0,5005.76,20693.92,95.0,212.29,397.96
2023-05-10,PROD-0054,Furniture,Warehouse-East,Supplier-E,704.0,291.0,286.0,11.0,8.0,22063.99,137750.67,324.0,221.41,473.37
2023-04-08,PROD-0055,Toys,Warehouse-Central,Supplier-D,311.0,32.0,37.0,15.0,4.0,3554.68,6271.68,37.0,85.2,195.99
2024-03-25,PROD-0245,Toys,Warehouse-North,Supplier-F,712.0,295.0,281.0,1.0,9.0,27677.39,187690.8,309.0,353.94,636.24
2023-05-11,PROD-0242,Toys,Warehouse-Central,Supplier-A,107.0,43.0,63.0,6.0,2.0,488.37,5420.15,71.0,56.03,126.05
2023-01-17,PROD-0074,Apparel,Warehouse-North,Supplier-C,822.0,496.0,512.0,12.0,8.0,35613.67,412592.64,,380.4,831.84
2023-07-19,PROD-0025,Furniture,Warehouse-South,Supplier-D,88.0,11.0,0.0,9.0,7.0,4642.58,9977.11,0.0,499.68,907.01
2023-12-01,PROD-0117,Electronics,Warehouse-North,Supplier-C,882.0,687.0,728.0,18.0,7.0,43782.02,348219.69,684.0,398.69,506.87
2024-03-18,PROD-0234,Furniture,Warehouse-North,Supplier-A,525.0,158.0,151.0,3.0,2.0,23965.18,124142.18,176.0,443.07,785.71
2024-06-10,PROD-0120,Automotive,Warehouse-North,Supplier-C,515.0,348.0,403.0,13.0,2.0,12528.45,213713.76,393.0,262.48,614.12
2023-11-07,PROD-0227,Automotive,Warehouse-South,Supplier-D,545.0,413.0,395.0,13.0,2.0,33257.01,484589.42,421.0,469.84,1173.34
2024-04-21,PROD-0062,Toys,Warehouse-Central,Supplier-D,747.0,271.0,296.0,12.0,9.0,26415.08,182494.11,255.0,385.3,673.41
2024-07-30,PROD-0222,Grocery,Warehouse-North,Supplier-E,2.0,,0.0,18.0,4.0,78.24,,32.0,359.2,560.51
2024-08-07,PROD-0143,Furniture,Warehouse-North,Supplier-C,888.0,343.0,380.0,12.0,5.0,20634.4,235675.3,378.0,394.24,687.1
2023-11-15,PROD-0046,Furniture,Warehouse-East,Supplier-D,,12.0,6.0,7.0,4.0,204.42,1021.08,45.0,37.17,85.09
2023-08-31,PROD-0237,Pharmaceuticals,Warehouse-South,Supplier-E,106.0,56.0,115.0,9.0,1.0,6731.57,60093.6,89.0,478.85,1073.1
2023-02-16,PROD-0215,Grocery,Warehouse-North,Supplier-B,520.0,98.0,87.0,17.0,3.0,23653.89,52184.02,109.0,380.33,532.49
2023-04-30,PROD-0125,Automotive,Warehouse-North,Supplier-B,328.0,67.0,50.0,5.0,2.0,6764.78,24109.28,75.0,231.43,359.84
2024-10-10,PROD-0195,Toys,Warehouse-North,Supplier-F,737.0,331.0,342.0,9.0,8.0,42435.14,241593.59,348.0,466.14,729.89
2023-11-24,PROD-0133,Electronics,Warehouse-South,Supplier-D,913.0,453.0,459.0,16.0,5.0,25416.91,527282.94,494.0,495.78,1163.98
2023-12-15,PROD-0115,Toys,Warehouse-South,Supplier-D,322.0,55.0,64.0,2.0,8.0,7040.01,36719.65,53.0,285.04,667.63
2023-12-02,PROD-0168,Toys,Warehouse-West,Supplier-A,352.0,58.0,86.0,16.0,9.0,4428.9,23799.72,100.0,170.33,410.34
2024-10-28,PROD-0166,Electronics,Warehouse-West,Supplier-C,6.0,4.0,18.0,19.0,7.0,5.98,45.2,22.0,7.55,11.3
2023-03-23,PROD-0100,Automotive,Warehouse-South,Supplier-E,717.0,523.0,531.0,2.0,1.0,12457.29,249314.1,566.0,282.12,476.7
2023-12-31,PROD-0163,Cosmetics,Warehouse-East,Supplier-E,413.0,73.0,105.0,15.0,5.0,3308.59,,120.0,55.74,116.73
2024-12-31,PROD-0192,Grocery,Warehouse-North,Supplier-B,523.0,405.0,391.0,10.0,6.0,10330.11,89881.65,434.0,176.21,221.93
2023-09-27,PROD-0192,Grocery,Warehouse-Central,Supplier-B,715.0,226.0,247.0,12.0,7.0,3541.42,14258.34,237.0,37.48,63.09
2024-04-03,PROD-0058,Electronics,Warehouse-South,Supplier-F,481.0,225.0,223.0,4.0,1.0,3620.99,23577.75,233.0,55.59,104.79
2023-06-06,PROD-0075,Automotive,Warehouse-West,Supplier-D,799.0,129.0,145.0,14.0,4.0,20325.51,103385.76,164.0,328.98,801.44
2024-08-26,PROD-0221,Grocery,Warehouse-Central,Supplier-D,302.0,207.0,235.0,6.0,3.0,6307.42,50462.46,224.0,140.74,243.78
2024-06-10,PROD-0162,Electronics,Warehouse-Central,Supplier-D,162.0,63.0,57.0,12.0,,6824.47,67047.75,88.0,432.86,1064.25
2024-10-18,PROD-0093,Apparel,Warehouse-Central,Supplier-D,519.0,78.0,74.0,14.0,2.0,22311.27,40808.04,110.0,381.71,523.18
2024-06-19,PROD-0060,Automotive,Warehouse-South,Supplier-A,898.0,557.0,541.0,14.0,7.0,7129.88,65631.31,574.0,66.97,117.83
2024-12-26,PROD-0246,Pharmaceuticals,Warehouse-Central,Supplier-F,116.0,1.0,58.0,8.0,1.0,71.38,18.39,18.0,10.75,18.39
2024-06-27,PROD-0011,Grocery,Warehouse-Central,Supplier-E,728.0,101.0,111.0,8.0,6.0,17673.17,50624.23,126.0,375.84,501.23
2024-11-02,PROD-0207,Cosmetics,Warehouse-West,Supplier-A,659.0,241.0,212.0,1.0,1.0,16961.43,241920.62,246.0,441.85,1003.82
2023-04-13,PROD-0194,Toys,Warehouse-South,Supplier-B,685.0,121.0,105.0,2.0,7.0,33492.4,55490.6,106.0,336.84,458.6
2023-01-09,PROD-0006,Cosmetics,Warehouse-North,Supplier-C,358.0,222.0,223.0,9.0,2.0,24245.34,209095.14,263.0,467.92,941.87
2023-04-21,PROD-0127,Apparel,Warehouse-East,Supplier-F,83.0,3.0,0.0,3.0,9.0,671.38,553.86,0.0,86.18,184.62
2023-03-28,PROD-0012,Toys,Warehouse-Central,Supplier-A,536.0,300.0,288.0,14.0,4.0,27457.66,197586.0,311.0,373.42,658.62
2023-11-03,PROD-0044,Cosmetics,Warehouse-South,Supplier-B,965.0,722.0,713.0,5.0,8.0,54117.85,513695.78,736.0,487.52,711.49
2024-03-20,PROD-0093,Apparel,Warehouse-North,Supplier-D,902.0,331.0,349.0,5.0,4.0,42194.67,226725.07,360.0,369.0,684.97
2024-11-19,PROD-0179,Electronics,Warehouse-North,Supplier-E,419.0,249.0,284.0,15.0,2.0,19237.45,246437.79,286.0,397.51,989.71
2023-09-03,PROD-0125,Automotive,Warehouse-West,Supplier-B,642.0,236.0,223.0,8.0,5.0,14916.71,184981.52,257.0,367.89,783.82
2024-06-09,PROD-0078,Furniture,Warehouse-South,Supplier-A,,292.0,330.0,6.0,9.0,6530.27,66167.2,273.0,127.38,226.6
2023-05-25,PROD-0123,Apparel,Warehouse-North,Supplier-B,27.0,1.0,5.0,5.0,5.0,570.67,227.4,25.0,165.97,227.4
2023-10-30,PROD-0031,Automotive,Warehouse-East,Supplier-A,9.0,2.0,0.0,16.0,9.0,147.09,874.16,0.0,218.29,437.08
2023-11-09,PROD-0064,Electronics,Warehouse-West,Supplier-F,283.0,120.0,126.0,15.0,5.0,9761.15,68359.2,155.0,269.09,569.66
2023-06-05,PROD-0111,Cosmetics,Warehouse-West,Supplier-C,250.0,188.0,177.0,18.0,2.0,1203.99,15692.36,168.0,65.87,83.47
2023-04-29,PROD-0035,Pharmaceuticals,Warehouse-Central,Supplier-B,756.0,58.0,96.0,1.0,1.0,26446.41,29312.04,80.0,294.41,505.38
2023-05-06,PROD-0226,Apparel,Warehouse-North,Supplier-F,305.0,28.0,54.0,7.0,8.0,7848.19,15059.8,30.0,260.22,537.85
2024-01-19,PROD-0126,Cosmetics,Warehouse-Central,Supplier-B,307.0,79.0,98.0,10.0,7.0,1804.28,,87.0,85.38,183.57
2023-12-18,PROD-0102,Apparel,Warehouse-Central,Supplier-A,494.0,85.0,101.0,2.0,1.0,29963.58,74526.3,81.0,419.87,876.78
2024-06-21,PROD-0136,Automotive,Warehouse-North,Supplier-E,587.0,327.0,,,4.0,14277.98,228559.92,359.0,339.87,698.96
2023-10-31,PROD-0069,Furniture,Warehouse-North,Supplier-C,601.0,445.0,480.0,18.0,6.0,13342.52,180122.65,437.0,162.47,404.77
2024-08-07,PROD-0245,Toys,Warehouse-Central,Supplier-F,158.0,104.0,148.0,4.0,2.0,2679.41,44098.08,153.0,205.05,424.02
2024-04-26,PROD-0082,Furniture,Warehouse-Central,Supplier-D,278.0,82.0,126.0,1.0,8.0,4853.93,20271.22,126.0,151.95,247.21
2023-03-17,PROD-0250,Grocery,Warehouse-Central,Supplier-A,914.0,604.0,662.0,1.0,1.0,23748.34,202575.56,594.0,275.12,335.39
2024-09-13,PROD-0206,Automotive,Warehouse-South,Supplier-A,961.0,2.0,56.0,8.0,2.0,12234.54,796.18,0.0,242.2,398.09
2023-05-13,PROD-0226,Apparel,Warehouse-Central,Supplier-F,974.0,299.0,283.0,11.0,7.0,48339.61,297510.98,299.0,407.43,995.02
2024-02-11,PROD-0107,Pharmaceuticals,Warehouse-Central,Supplier-D,123.0,14.0,8.0,4.0,3.0,614.53,808.08,27.0,34.83,57.72
2023-11-30,PROD-0125,Automotive,Warehouse-West,Supplier-B,372.0,51.0,47.0,15.0,3.0,6417.04,31824.51,32.0,292.56,624.01
2024-08-11,PROD-0132,Automotive,Warehouse-South,Supplier-A,344.0,262.0,305.0,7.0,7.0,6725.59,57060.98,297.0,151.16,217.79
2023-02-05,PROD-0084,Cosmetics,Warehouse-West,Supplier-A,885.0,,397.0,13.0,7.0,28821.64,242876.16,389.0,320.8,632.49
2024-06-04,PROD-0015,Cosmetics,Warehouse-South,Supplier-D,983.0,377.0,388.0,8.0,8.0,13033.84,150238.27,406.0,179.94,398.51
2024-10-25,PROD-0019,Cosmetics,Warehouse-West,Supplier-D,59.0,38.0,81.0,18.0,3.0,1762.18,23403.44,64.0,313.81,615.88
2024-07-14,PROD-0227,Automotive,Warehouse-West,Supplier-D,225.0,160.0,150.0,17.0,6.0,429.1,5315.2,171.0,16.7,33.22
2024-06-06,PROD-0138,Electronics,Warehouse-North,Supplier-C,589.0,76.0,102.0,2.0,3.0,20814.51,40555.12,94.0,300.54,533.62
2024-04-03,PROD-0231,Pharmaceuticals,Warehouse-West,Supplier-B,301.0,18.0,55.0,6.0,7.0,8920.4,14219.28,33.0,387.45,789.96
2023-03-14,PROD-0136,Automotive,Warehouse-North,Supplier-E,890.0,69.0,79.0,7.0,4.0,26550.84,32000.13,92.0,223.99,463.77
2024-06-22,PROD-0160,Furniture,Warehouse-Central,Supplier-A,775.0,229.0,270.0,18.0,3.0,17173.16,100517.26,278.0,268.81,438.94
2023-05-10,PROD-0215,Grocery,Warehouse-West,Supplier-B,769.0,613.0,663.0,3.0,2.0,14483.09,270719.19,650.0,225.94,441.63
2024-07-01,PROD-0197,Apparel,Warehouse-Central,Supplier-C,476.0,286.0,302.0,16.0,9.0,,187387.2,273.0,411.79,655.2
2024-05-29,PROD-0144,Cosmetics,Warehouse-Central,Supplier-F,278.0,91.0,65.0,8.0,8.0,10158.37,46513.74,140.0,272.28,511.14
2024-02-10,PROD-0210,Automotive,Warehouse-North,Supplier-F,783.0,459.0,466.0,2.0,4.0,9264.5,118720.35,440.0,155.05,258.65
2024-03-24,PROD-0075,Automotive,Warehouse-East,Supplier-D,179.0,54.0,29.0,3.0,6.0,6704.12,,45.0,251.0,579.02
2023-08-27,PROD-0049,Pharmaceuticals,Warehouse-South,Supplier-D,677.0,428.0,432.0,10.0,6.0,3611.72,72618.76,422.0,74.93,169.67
2024-02-09,PROD-0163,Cosmetics,Warehouse-South,Supplier-E,858.0,129.0,133.0,18.0,4.0,35484.48,72527.67,162.0,288.66,562.23
2023-10-16,PROD-0164,Furniture,Warehouse-North,Supplier-C,109.0,79.0,102.0,14.0,,2485.79,27871.99,66.0,253.77,352.81
2024-06-20,PROD-0079,Toys,Warehouse-West,Supplier-B,172.0,,12.0,13.0,4.0,2318.5,4977.28,33.0,222.56,452.48
2023-09-11,PROD-0130,Furniture,Warehouse-West,Supplier-A,662.0,466.0,466.0,19.0,5.0,24874.16,232711.08,456.0,391.48,499.38
2024-11-20,PROD-0159,Electronics,Warehouse-North,Supplier-D,982.0,82.0,60.0,3.0,5.0,5134.4,7106.12,77.0,65.09,86.66
2024-08-31,PROD-0004,Toys,Warehouse-West,Supplier-E,614.0,39.0,25.0,5.0,7.0,4728.41,9149.01,56.0,114.3,234.59
2023-08-19,PROD-0178,Grocery,Warehouse-Central,Supplier-A,627.0,190.0,221.0,3.0,7.0,16317.74,72030.9,174.0,265.12,379.11
2024-05-24,PROD-0183,Pharmaceuticals,Warehouse-South,Supplier-E,573.0,218.0,208.0,6.0,5.0,13921.35,157609.64,262.0,381.34,722.98
2023-01-13,PROD-0213,Automotive,Warehouse-South,Supplier-B,241.0,180.0,231.0,5.0,4.0,,69343.2,180.0,188.85,385.24
2023-11-04,PROD-0183,Pharmaceuticals,Warehouse-Central,Supplier-E,793.0,509.0,546.0,2.0,4.0,11463.82,144001.19,540.0,125.52,282.91
2024-02-26,PROD-0042,Toys,Warehouse-Central,Supplier-C,553.0,396.0,429.0,17.0,8.0,10586.86,112867.92,404.0,161.13,285.02
2023-04-07,PROD-0010,Apparel,Warehouse-South,Supplier-F,825.0,231.0,221.0,11.0,7.0,38140.91,155215.83,227.0,331.38,671.93
2023-06-22,PROD-0211,Toys,Warehouse-Central,Supplier-E,415.0,86.0,63.0,13.0,8.0,2370.92,5226.22,89.0,46.97,60.77
2024-04-27,PROD-0152,Grocery,Warehouse-North,Supplier-F,644.0,147.0,137.0,8.0,,14619.82,53926.95,154.0,178.1,366.85
2024-07-16,PROD-0235,Furniture,Warehouse-South,Supplier-B,260.0,4.0,0.0,10.0,6.0,1210.89,434.88,0.0,45.9,108.72
2023-12-26,PROD-0153,Electronics,Warehouse-North,Supplier-C,961.0,462.0,481.0,3.0,1.0,9608.13,78332.1,503.0,131.43,169.55
2024-01-05,PROD-0010,Apparel,Warehouse-Central,Supplier-F,675.0,487.0,458.0,13.0,5.0,31732.75,448901.99,477.0,460.55,921.77
2024-06-05,PROD-0015,Cosmetics,Warehouse-North,Supplier-D,935.0,401.0,425.0,9.0,9.0,18764.85,130689.91,402.0,191.12,325.91
2024-02-18,PROD-0212,Toys,Warehouse-Central,Supplier-B,171.0,31.0,51.0,14.0,1.0,4363.38,22754.31,49.0,324.68,734.01
2024-05-11,PROD-0012,Toys,Warehouse-North,Supplier-A,942.0,529.0,519.0,13.0,5.0,57532.91,498318.0,531.0,489.31,942.0
2023-08-24,PROD-0224,Furniture,Warehouse-East,Supplier-A,255.0,85.0,76.0,11.0,9.0,6496.22,56380.5,93.0,469.01,663.3
2023-08-01,PROD-0207,Cosmetics,Warehouse-West,Supplier-A,282.0,49.0,97.0,19.0,7.0,14641.28,39310.25,89.0,421.15,802.25
2023-12-19,PROD-0184,Grocery,Warehouse-East,Supplier-C,702.0,18.0,10.0,7.0,9.0,17689.62,12369.24,13.0,381.76,687.18
2024-08-06,PROD-0129,Furniture,Warehouse-West,Supplier-E,unknown,2.0,36.0,4.0,8.0,3623.76,415.12,0.0,101.01,207.56
2024-02-09,PROD-0128,Electronics,Warehouse-East,Supplier-C,922.0,65.0,75.0,16.0,9.0,13012.26,39751.4,98.0,279.34,611.56
2023-01-12,PROD-0209,Pharmaceuticals,Warehouse-North,Supplier-C,,19.0,63.0,16.0,3.0,17066.19,14846.98,56.0,421.78,781.42
2023-05-12,PROD-0111,Cosmetics,Warehouse-Central,Supplier-C,131.0,19.0,0.0,3.0,5.0,2190.73,9065.28,36.0,333.21,477.12
2023-07-07,PROD-0057,Cosmetics,Warehouse-Central,Supplier-F,19.0,0.0,40.0,4.0,3.0,76.13,0.0,0.0,37.1,71.6
2024-06-19,PROD-0162,Electronics,Warehouse-South,Supplier-D,914.0,158.0,187.0,19.0,,18985.5,106400.36,167.0,320.06,673.42
2023-11-10,PROD-0230,Automotive,Warehouse-Central,Supplier-B,926.0,703.0,691.0,16.0,4.0,7502.86,69456.4,745.0,65.58,98.8
2024-09-19,PROD-0113,Cosmetics,Warehouse-East,Supplier-D,475.0,250.0,266.0,11.0,9.0,25338.98,203987.5,233.0,466.89,815.95
2024-10-21,PROD-0240,Cosmetics,Warehouse-East,Supplier-B,unknown,,213.0,14.0,7.0,12471.91,81711.66,237.0,288.08,414.78
2023-05-18,PROD-0050,Pharmaceuticals,Warehouse-East,Supplier-C,972.0,618.0,657.0,17.0,3.0,34734.95,511487.7,666.0,470.64,827.65
2023-12-15,PROD-0064,Electronics,Warehouse-Central,Supplier-F,979.0,48.0,38.0,10.0,5.0,39255.68,21520.32,66.0,354.48,448.34
2024-10-02,PROD-0024,Cosmetics,Warehouse-North,Supplier-D,611.0,325.0,335.0,14.0,9.0,26645.17,299347.75,334.0,376.93,921.07
2024-02-12,PROD-0108,Furniture,Warehouse-South,Supplier-F,413.0,219.0,195.0,3.0,7.0,14041.76,154324.92,252.0,453.6,704.68
